international_research_network;faculty_student_ratio;international_students;outbound_exchange;citations_per_paper;inbound_exchange;papers_per_faculty;international_faculty;academic_reputation;employer_reputation;faculty_staff_with_PhD
0;0;55.5;38.1;34.3;62.9;0;21;16.3;21.5;27.7
35.6;0;0;0;98.6;0;35.8;0;0;0;0
37;89.8;19.2;0;0;0;23.2;0;0;0;14
36.1;86;13.9;0;0;15;0;0;0;0;0
43;0;0;0;97.5;0;33.2;0;0;0;0
32.5;22.7;42.6;0;44.4;0;71;0;0;0;23.4
25.6;0;0;14;30;15.4;55.8;0;0;0;96
32.7;22.8;14;0;0;0;0;21.5;28;21.3;0
0;0;29.6;32.1;0;44;0;81.5;26.8;21.4;0
38.1;0;31.1;100;36.2;15.9;0;100;0;0;0
44;36.2;0;0;34.2;0;0;0;18.2;0;0
31.5;0;57.9;97.7;0;10.1;0;0;17.1;23;0
38.5;41.8;0;22.8;0;98.1;19;85.9;0;0;0
20.7;0;39.3;13.3;44.7;95.9;26.8;0;0;0;43.5
0;0;17.5;14;0;30.8;0;55.5;22.5;40.1;0
0;31.1;72.5;63.8;38.7;81.1;0;21.2;0;0;15.9
33.9;95.9;0;0;0;0;82.2;0;0;0;0
64.6;48.5;0;0;46.7;0;25.9;0;0;0;0
0;62.8;18.1;37;61.9;0;19.4;0;0;0;0
0;36;90.7;91;0;64.9;0;90.3;14.4;0;18.8
28;24.1;17.5;48.4;77.9;17.4;0;20;0;0;0
0;39.2;0;0;0;0;0;0;16.8;47.9;0
48.7;0;0;14.6;29.9;38.9;76.1;0;0;0;30.8
0;75.5;21.2;28.1;34.6;25.4;0;17.8;0;0;0
39.3;0;0;0;63.6;0;31.7;0;0;0;58.5
41.5;0;0;0;24.2;0;99.1;0;0;0;98.9
0;0;0;0;0;14.7;0;33.2;19.5;44.7;19.8
0;0;41.3;78.7;0;56.9;0;24.5;0;15.2;65.9
0;0;0;22.5;0;11.7;0;19.8;29;38.3;0
23.9;30;26;0;0;0;84.8;57.3;0;0;95.9
0;90.4;16.4;55.2;0;60.4;18.1;0;0;0;0
0;96.4;23.5;20.6;20.3;25.8;19.1;0;0;0;0
20.7;0;23.8;0;0;12.8;0;17.1;18.7;45.8;0
46.6;0;0;30.6;31.9;0;47.5;0;0;0;34.9
31;0;28.3;12.3;20.5;0;31.9;18.7;14.2;0;79.2
0;0;27.3;28;25.5;36.1;30.5;25;17.5;0;75.3
0;0;19.1;27.7;71.5;64.3;0;17.7;0;16.5;21.4
0;22.7;30.8;49.7;0;81.2;0;25.6;20;0;49.1
46;0;0;0;0;0;0;0;26.7;25.7;0
35.9;0;0;0;54;0;30.2;0;15;16.4;0
0;0;23.2;96.5;0;38.9;0;75;16.1;0;68.9
0;72.9;33.8;0;0;22;0;21;0;0;84.9
0;60.6;23.2;0;79.2;0;21.7;0;0;0;0
0;0;47.9;18.5;35.7;34.4;18.5;0;0;0;75.1
0;0;24.7;18.5;51.6;29.3;0;66.6;0;24.3;0
0;0;100;49.2;0;57.4;0;100;0;29.3;0
29.2;30.6;0;0;99;0;0;0;0;0;0
56.2;0;0;0;61;0;21.6;0;0;0;0
0;54.5;14;15.9;0;60.2;0;27.7;18;15;0
25.6;25.6;24.3;17.3;0;23;27.8;0;19.1;18.8;0
0;0;0;0;0;0;0;0;26.6;38;0
0;83.8;0;0;0;0;23.7;39.4;0;0;98.2
0;70.8;13.1;0;0;10;0;22;0;0;80.2
30.9;41.7;0;0;27.8;0;0;0;0;0;56.2
0;26.8;100;86.2;0;100;0;93.5;0;0;0
18.4;0;14.5;0;24.4;0;43.6;33.4;16.4;0;68.7
32.1;24.9;0;24.9;33.6;0;28.2;0;0;0;20.4
37.2;26.8;0;0;0;0;75;0;0;0;15.1
21;0;0;25.7;69.9;17.3;46.2;0;0;0;0
0;93.9;0;0;0;0;0;0;0;0;100
52.4;0;0;0;21.5;12.5;0;0;17.8;16.8;0
70.3;0;0;17.1;0;0;47.5;0;0;0;25.7
0;0;41.3;79.5;35.8;29.2;0;94.6;0;0;22.4
17.8;0;0;46.9;36.2;28.5;21.1;26.7;0;0;0
22.3;0;0;0;0;0;98.1;0;0;0;100
0;0;0;0;33.3;0;74;0;0;0;100
0;28.3;0;0;0;0;90.8;0;0;0;100
0;81.4;0;22;0;20.8;19.4;0;0;0;38.1
0;39.6;24.6;14.6;26.5;13;18.3;0;0;0;42.5
25.9;0;0;0;0;0;0;0;19.4;30.7;0
0;77.6;0;0;22.5;31;0;0;0;0;20.6
0;0;0;17.8;80.5;0;0;24.4;0;0;0
0;96.1;0;0;29.5;0;0;17.5;0;0;16.9
46.3;0;21.8;0;0;0;79.2;19.4;14.5;0;0
28.2;0;0;0;54;0;49.6;0;0;0;0
